id,activity_date,total_steps,very_active_minutes,fairly_active_minutes,lightly_active_minutes,sedentary_minutes,calories,active_minutes
1503960366,2016-03-25,11004,33,12,205,804,1819,45
1503960366,2016-03-26,17609,89,17,274,588,2154,106
1503960366,2016-03-27,12736,56,5,268,605,1944,61
1503960366,2016-03-28,13231,39,20,224,1080,1932,59
1503960366,2016-03-29,12041,28,28,243,763,1886,56
1503960366,2016-03-30,10970,30,13,223,1174,1820,43
1503960366,2016-03-31,12256,33,12,239,820,1889,45
1503960366,2016-04-01,12262,47,21,200,866,1868,68
1503960366,2016-04-02,11248,40,11,244,636,1843,51
1503960366,2016-04-03,10016,15,30,314,655,1850,45
1503960366,2016-04-04,14557,43,18,285,757,2030,61
1503960366,2016-04-05,14844,36,18,341,736,2083,54
1503960366,2016-04-06,11974,27,12,228,1173,1861,39
1503960366,2016-04-07,10198,17,20,195,1208,1755,37
1503960366,2016-04-08,12521,46,22,212,1160,1895,68
1503960366,2016-04-09,12432,32,15,248,738,1883,47
1503960366,2016-04-10,10057,44,13,168,737,1755,57
1503960366,2016-04-11,10990,26,14,216,855,1811,40
1503960366,2016-04-12,224,0,0,9,32,50,0
1624580081,2016-03-25,1810,0,0,121,1319,1373,0
1624580081,2016-03-26,815,0,0,47,1393,1264,0
1624580081,2016-03-27,1985,0,0,112,1328,1350,0
1624580081,2016-03-28,1905,0,0,95,1345,1342,0
1624580081,2016-03-29,1552,0,0,66,1374,1300,0
1624580081,2016-03-30,1675,0,0,84,1356,1313,0
1624580081,2016-03-31,4506,7,4,144,1285,1498,11
1624580081,2016-04-01,9218,0,0,221,1219,1541,0
1624580081,2016-04-02,1556,0,0,88,1352,1327,0
1624580081,2016-04-03,2910,0,0,157,1283,1452,0
1624580081,2016-04-04,18464,0,0,270,1170,1574,0
1624580081,2016-04-05,1335,0,0,74,1366,1308,0
1624580081,2016-04-06,1004,0,0,55,1385,1276,0
1624580081,2016-04-07,1111,0,0,54,1386,1278,0
1624580081,2016-04-08,6344,0,0,143,1297,1409,0
1624580081,2016-04-09,3572,0,0,122,1318,1370,0
1624580081,2016-04-10,3910,7,7,186,1240,1555,14
1624580081,2016-04-11,10000,0,0,172,1268,1469,0
1624580081,2016-04-12,6627,0,0,89,604,706,0
1644430081,2016-04-01,4636,0,16,586,838,3323,16
1644430081,2016-04-02,20237,34,141,347,918,4029,175
1644430081,2016-04-03,12912,59,16,283,1082,3436,75
1644430081,2016-04-04,2819,4,4,87,1345,2444,8
1644430081,2016-04-05,9921,5,35,219,1181,3098,40
1644430081,2016-04-06,8046,18,41,137,1244,2925,59
1644430081,2016-04-07,11166,3,58,230,1149,3202,61
1644430081,2016-04-08,7842,7,43,161,1229,2928,50
1644430081,2016-04-09,13840,18,81,192,1149,3290,99
1644430081,2016-04-10,1329,0,0,35,207,489,0
1844505072,2016-04-01,6847,9,9,251,1171,1969,18
1844505072,2016-04-02,5367,0,0,263,1177,1889,0
1844505072,2016-04-03,2841,0,0,136,1114,1636,0
1844505072,2016-04-04,0,0,0,0,669,1347,0
1844505072,2016-04-05,0,0,0,0,1440,1347,0
1844505072,2016-04-06,7,0,0,1,1439,1349,0
1844505072,2016-04-07,6344,0,0,290,1150,1965,0
1844505072,2016-04-08,5316,0,0,221,1219,1824,0
1844505072,2016-04-09,4979,0,0,184,620,1807,0
1844505072,2016-04-10,6556,0,0,305,810,1971,0
1844505072,2016-04-11,5430,0,0,251,1189,1888,0
1844505072,2016-04-12,0,0,0,0,426,399,0
1927972279,2016-04-01,4317,0,11,192,854,2590,11
1927972279,2016-04-02,5662,0,0,267,858,2783,0
1927972279,2016-04-03,3198,0,0,146,1183,2449,0
1927972279,2016-04-04,2352,0,0,128,829,2380,0
1927972279,2016-04-05,2234,0,0,108,912,2344,0
1927972279,2016-04-06,1259,0,0,73,938,2202,0
1927972279,2016-04-07,768,0,0,43,1397,2130,0
1927972279,2016-04-08,519,0,0,34,1406,2088,0
1927972279,2016-04-09,2523,0,9,134,1250,2443,9
1927972279,2016-04-10,2105,0,0,139,805,2442,0
1927972279,2016-04-11,1209,0,0,73,842,2255,0
1927972279,2016-04-12,24,0,0,3,161,942,0
2022484408,2016-04-01,13603,72,16,213,1139,2645,88
2022484408,2016-04-02,5477,0,0,237,1203,2040,0
2022484408,2016-04-03,11144,25,22,279,1114,2395,47
2022484408,2016-04-04,15313,62,19,233,1126,2581,81
2022484408,2016-04-05,10805,36,37,298,1069,2735,73
2022484408,2016-04-06,15392,47,42,258,1093,2733,89
2022484408,2016-04-07,18247,72,62,252,1054,3021,134
2022484408,2016-04-08,13023,40,12,296,1092,2577,52
2022484408,2016-04-09,16267,44,16,302,1078,2811,60
2022484408,2016-04-10,10005,1,23,339,1077,2458,24
2022484408,2016-04-11,10106,41,16,272,1111,2568,57
2022484408,2016-04-12,6717,41,5,67,551,1140,46
2026352035,2016-04-01,2605,0,0,166,729,1407,0
2026352035,2016-04-02,1229,0,0,69,795,1237,0
2026352035,2016-04-03,2308,0,0,115,720,1330,0
2026352035,2016-04-04,6679,0,0,263,644,1583,0
2026352035,2016-04-05,5645,0,0,248,621,1538,0
2026352035,2016-04-06,3180,0,0,185,738,1421,0
2026352035,2016-04-07,2767,0,0,170,673,1392,0
2026352035,2016-04-08,3762,0,0,173,719,1425,0
2026352035,2016-04-09,3098,0,0,185,700,1413,0
2026352035,2016-04-10,5142,0,0,230,654,1515,0
2026352035,2016-04-11,3279,0,0,164,694,1405,0
2026352035,2016-04-12,1019,0,0,64,223,600,0
2320127002,2016-04-01,0,0,0,0,1440,1324,0
2320127002,2016-04-02,0,0,0,0,1440,1324,0
2320127002,2016-04-03,0,0,0,0,1440,1324,0
2320127002,2016-04-04,0,0,0,0,1440,1324,0
2320127002,2016-04-05,4931,0,0,175,1265,1708,0
2320127002,2016-04-06,6999,0,0,320,1120,1950,0
2320127002,2016-04-07,1846,0,0,93,1347,1508,0
2320127002,2016-04-08,3417,0,0,153,1287,1625,0
2320127002,2016-04-09,4863,1,11,208,1220,1772,12
2320127002,2016-04-10,2277,0,0,103,1337,1530,0
2320127002,2016-04-11,11230,10,2,390,1038,2206,12
2320127002,2016-04-12,2098,0,0,69,617,790,0
2347167796,2016-03-29,10272,2,58,208,700,2041,60
2347167796,2016-03-30,10533,21,35,255,615,2187,56
2347167796,2016-03-31,6760,0,0,250,613,1929,0
2347167796,2016-04-01,8328,0,33,212,804,1935,33
2347167796,2016-04-02,15459,51,16,327,583,2438,67
2347167796,2016-04-03,7485,0,0,324,491,2035,0
2347167796,2016-04-04,10254,21,25,231,638,2099,46
2347167796,2016-04-05,10114,18,9,269,696,2096,27
2347167796,2016-04-06,11107,14,46,196,759,2058,60
2347167796,2016-04-07,10320,15,32,315,1002,2338,47
2347167796,2016-04-08,10209,2,6,316,711,2104,8
2347167796,2016-04-09,16081,16,32,401,970,2488,48
2347167796,2016-04-10,10078,12,3,303,463,2164,15
2347167796,2016-04-11,10001,5,52,196,788,2009,57
2347167796,2016-04-12,0,0,0,0,425,399,0
2873212765,2016-04-01,890,0,0,41,1399,1335,0
2873212765,2016-04-02,2214,0,0,197,1243,1559,0
2873212765,2016-04-03,7640,3,15,315,1107,1845,18
2873212765,2016-04-04,9713,6,24,355,1055,2046,30
2873212765,2016-04-05,8432,0,0,374,1066,1953,0
2873212765,2016-04-06,7350,0,0,382,1058,1910,0
2873212765,2016-04-07,9353,5,17,363,1055,2035,22
2873212765,2016-04-08,7157,0,0,380,1060,1944,0
2873212765,2016-04-09,14103,46,8,288,1098,2257,54
2873212765,2016-04-10,5290,1,8,251,1180,1724,9
2873212765,2016-04-11,7497,0,0,357,882,1741,0
2873212765,2016-04-12,0,0,0,0,1440,0,0
2891001357,2016-03-29,0,0,0,0,1440,1920,0
2891001357,2016-03-30,0,0,0,0,1440,1920,0
2891001357,2016-03-31,0,0,0,0,1440,1920,0
2891001357,2016-04-02,4126,0,0,720,720,2881,0
2891001357,2016-04-03,0,0,0,0,1440,1920,0
2891001357,2016-04-04,0,0,0,0,1440,1920,0
2891001357,2016-04-05,2063,0,0,630,99,1144,0
3372868164,2016-04-01,5785,0,0,311,1129,1852,0
3372868164,2016-04-02,7625,24,1,341,1074,2069,25
3372868164,2016-04-03,4706,0,0,299,1141,1816,0
3372868164,2016-04-04,5861,20,7,233,1180,1878,27
3372868164,2016-04-05,4460,0,0,248,1192,1787,0
3372868164,2016-04-06,6406,17,4,325,1094,2010,21
3372868164,2016-04-07,7392,14,9,332,1085,2038,23
3372868164,2016-04-08,5551,0,0,282,1158,1815,0
3372868164,2016-04-09,8827,21,10,346,1063,2062,31
3372868164,2016-04-10,4662,22,4,152,735,1276,26
3977333714,2016-04-01,4499,0,0,168,842,1288,0
3977333714,2016-04-02,7618,0,6,302,842,1490,6
3977333714,2016-04-03,11508,29,22,282,748,1630,51
3977333714,2016-04-04,11943,16,43,297,710,1648,59
3977333714,2016-04-05,12303,26,32,291,605,1649,58
3977333714,2016-04-06,15425,24,45,331,614,1783,69
3977333714,2016-04-07,8422,0,81,139,815,1431,81
3977333714,2016-04-08,10226,0,101,174,685,1524,101
3977333714,2016-04-09,14583,35,36,254,697,1697,71
3977333714,2016-04-10,3573,15,8,99,866,1232,23
